mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,chroma_stftmean,chroma_stftvar,chroma_cqtmean,chroma_cqtvar,chroma_censmean,chroma_censvar,melspectrogrammean,melspectrogramvar,rmsmean,rmsvar,spectral_centroidmean,spectral_centroidvar,spectral_bandwidthmean,spectral_bandwidthvar,spectral_contrastmean,spectral_contrastvar,spectral_rolloffmean,spectral_rolloffvar,file_name,genre
-113.59882354736328,121.57067108154297,-19.162261962890625,42.36393737792969,-6.3622660636901855,18.621931076049805,-13.69973373413086,15.339801788330078,-12.274304389953613,10.970946311950684,-8.326061248779297,8.802087783813477,-3.6699411869049072,5.744675636291504,-5.162783145904541,0.7517064213752747,-1.6878541707992554,-0.4087299108505249,-2.3026766777038574,1.222467064857483,0.3501285,0.08877166,0.5378252,0.05358706,0.27226317,0.009206081,4.4255424,739.8844,0.13018432,0.00282838,1784.1226409867395,129745.48453872248,2002.4124070990924,85834.4103621946,20.523289104984585,76.80119100984597,3805.7230301080335,901252.916706492,blues.00000.wav,blues
-207.52383422851562,123.98513793945312,8.94701862335205,35.867149353027344,2.9095942974090576,21.519472122192383,-8.556513786315918,23.370676040649414,-10.103608131408691,11.899242401123047,-5.558824062347412,5.377876281738281,-2.2344918251037598,4.220704078674316,-6.01068639755249,0.9292941689491272,-0.7284027934074402,0.2968723475933075,-0.2824304401874542,0.5306443572044373,0.3408494,0.09497618,0.47677225,0.05772501,0.2610852,0.0151678445,2.6534398,300.07416,0.09590782,0.00237272,1530.2617668815155,375915.50852199737,2038.987608168796,213905.10295057186,20.672485756359524,67.8618450598419,3550.7136156830047,2978310.9040219653,blues.00001.wav,blues
-90.75716400146484,140.4408721923828,-29.08454704284668,31.68669319152832,-13.976547241210938,25.753751754760742,-13.664990425109863,11.634442329406738,-11.778322219848633,9.714756965637207,-13.125313758850098,5.7912468910217285,-8.90196704864502,-1.0801602602005005,-9.22624397277832,2.4483044147491455,-7.724839210510254,-1.8190239667892456,-3.440457582473755,-2.2381277084350586,0.36353773,0.08525664,0.44370487,0.058773465,0.2627107,0.014316418,7.2538414,871.40845,0.17547321,0.002750858,1552.8324813719914,156471.01101167462,1747.7540869151055,76295.4134578476,22.191291984559946,76.1225977975675,3042.4101154654873,784130.8743978116,blues.00002.wav,blues
-199.57513427734375,150.0861053466797,5.6634039878845215,26.855281829833984,1.770071268081665,14.232646942138672,-4.827844619750977,9.286852836608887,-0.7561201453208923,8.134434700012207,-3.200026035308838,6.078081130981445,-2.478445053100586,-1.0815869569778442,-2.8744540214538574,0.773993968963623,-3.3240692615509033,0.6363106369972229,-0.6159675717353821,-3.405045986175537,0.40485436,0.09399866,0.31689113,0.071227774,0.22609603,0.032213923,6.2075453,4710.556,0.14104027,0.006347602,1070.1534179991847,184366.0093845834,1596.422564648525,166551.8443226404,21.423621104847665,63.38676321568147,2184.8790286035382,1493077.8489404472,blues.00003.wav,blues
-160.3541717529297,126.20948028564453,-35.58139419555664,22.13925552368164,-32.473548889160156,10.850701332092285,-23.35007095336914,0.4932490289211273,-11.796539306640625,1.2035191059112549,-13.084959030151367,-2.8104991912841797,-6.9344706535339355,-7.55387544631958,-9.167669296264648,-4.515862941741943,-5.451786041259766,-0.9159523844718933,-4.408017635345459,-11.704384803771973,0.30852598,0.08784315,0.49700454,0.0660451,0.2597324,0.015872411,2.1063309,165.5275,0.09150122,0.002305285,1835.1285128875493,343249.49574738194,1748.4107586184412,88378.70449170569,21.459618026724748,63.03389242490765,3579.9574708164155,1572336.2989541132,blues.00004.wav,blues
-177.8017578125,118.20316314697266,-17.570629119873047,30.760927200317383,-21.7425537109375,11.919262886047363,-20.734298706054688,3.185288667678833,-8.580818176269531,-0.9328852295875549,-11.772245407104492,-2.408763885498047,-9.348445892333984,-9.942635536193848,-3.9021835327148438,-5.574562072753906,-1.8393144607543945,-2.7893166542053223,-3.047805070877075,-8.109731674194336,0.30252185,0.087551296,0.39724582,0.072561465,0.2431425,0.024215056,2.9151483,809.5033,0.103452876,0.0039811623,1832.0115969793162,1030483.8309652422,1729.5808045469614,201846.07407526343,22.542615507196338,66.88354956049596,3481.4676306917054,3274386.1962247384,blues.00005.wav,blues
-190.0688018798828,130.27023315429688,-36.36211395263672,33.03620910644531,11.093892097473145,-0.5918818712234497,-20.89026641845703,0.2784423530101776,-6.496385097503662,-5.512735366821289,-7.8474040031433105,-3.124300718307495,-6.602821350097656,-9.94999885559082,-6.542689323425293,-10.072227478027344,-10.918622970581055,-6.965243339538574,-3.439431667327881,-6.484498977661133,0.29142597,0.09398485,0.3771123,0.08476491,0.23358978,0.028769145,5.8821964,2461.822,0.14175196,0.008782076,1459.4696906334664,438024.99814577453,1389.0684455609621,185156.3211962846,23.42114998560874,49.579016959633464,2795.910729498985,1621507.809656879,blues.00006.wav,blues
-179.37229919433594,136.44833374023438,-26.662588119506836,39.965450286865234,5.310893535614014,10.919133186340332,-20.559534072875977,8.503360748291016,-11.349763870239258,-3.470555067062378,-8.415842056274414,-6.957211017608643,-3.5460426807403564,-8.051758766174316,-8.96491813659668,-8.427481651306152,-10.56428050994873,-10.78565788269043,-4.695469379425049,-8.631641387939453,0.30737153,0.09285334,0.406788,0.076792166,0.24047911,0.02550313,4.828115,1414.5721,0.13176751,0.0055319313,1451.8594135288934,449601.6407097198,1577.5671155774064,168197.59948964932,22.43554729232493,52.46994715240796,2955.3197165929523,1629557.4144231493,blues.00007.wav,blues
-121.3897933959961,122.49832916259766,-14.734728813171387,46.122135162353516,-8.179258346557617,20.172466278076172,-19.171894073486328,23.03683853149414,-11.83272933959961,21.15465545654297,-6.722797393798828,6.989505767822266,-12.730550765991211,5.058538436889648,-5.185806751251221,-1.4536041021347046,-7.042628765106201,2.6942129135131836,3.4095308780670166,-2.7137441635131836,0.40891296,0.086500056,0.47973353,0.0533425,0.26844653,0.011269788,4.9438577,857.54156,0.14232728,0.0015031187,1719.4633657482495,163308.43298305827,2031.8293659086537,105565.9242806774,22.371989710234367,89.26038500164822,3782.441190998405,1262984.5682501604,blues.00008.wav,blues
-213.2642364501953,115.16475677490234,-11.698169708251953,39.015357971191406,-20.348331451416016,13.082701683044434,-9.182701110839844,9.017151832580566,-14.1043119430542,4.271254062652588,-6.050780296325684,3.7858355045318604,0.22263547778129578,-5.106882095336914,-0.410153329372406,-1.179344892501831,-1.9147080183029175,-2.293661117553711,2.884260416030884,-4.2338786125183105,0.27396762,0.09231063,0.3906658,0.07627774,0.2400393,0.025714464,2.3872306,603.80347,0.08128055,0.004346177,1817.2305903199676,298141.4244144362,1973.7920387975744,114140.14449366284,21.15661982048843,63.3032087710566,3943.8319655416185,1366784.3467715923,blues.00009.wav,blues
